image_name,pixel_x,pixel_y
20211020_104528_343,1486,467
20211020_104547_374,1027,225
20211020_104525_343,1203,894
20211020_104534_343,970,221
20211020_104440_303,965,296
20211020_104419_243,939,730
20211020_104435_283,963,314
20211020_104557_383,1032,233
20211020_104428_246,957,454
20211020_104559_393,1028,231
20211020_104536_343,1007,194
20211020_104443_303,961,299
20211020_104418_243,933,727
20211020_104416_243,936,731
20211020_104447_313,965,164
20211020_104537_343,1009,207
20211020_104436_293,968,307
20211020_104446_313,989,544
20211020_104523_343,990,966
20211020_104550_373,1028,230
20211020_104544_353,1021,219
20211020_104553_383,1038,234
20211020_104420_243,938,744
20211020_104425_243,945,761
20211020_104423_243,940,742
20211020_104438_293,964,299
20211020_104445_303,976,475
20211020_104417_243,929,717
20211020_104432_273,961,276
20211020_104429_263,963,283
20211020_104433_283,968,294
20211020_104602_393,1033,225
20211020_104439_303,953,303
20211020_104546_373,1014,213
20211020_104540_343,1013,215
20211020_104526_343,1266,805
20211020_104527_343,1382,649
20211020_104552_374,1025,234
20211020_104529_343,1305,316
20211020_104558_393,1036,238
20211020_104533_343,1011,245
20211020_104522_343,876,957
20211020_104601_393,1028,231
20211020_104545_363,1018,218
20211020_104434_283,955,297
20211020_104548_373,1020,225
20211020_104532_344,1018,256
20211020_104539_343,1016,207
20211020_104524_343,1101,958
20211020_104437_293,965,320
20211020_104441_303,965,310
20211020_104530_343,1076,293
20211020_104427_243,941,755
20211020_104531_343,1056,273
20211020_104600_393,1020,223
20211020_104554_383,1036,229
20211020_104424_243,953,740
20211020_104541_343,1021,230
20211020_104543_353,1020,220
20211020_104549_373,1025,229
20211020_104542_353,1027,215
20211020_104555_383,1022,227
20211020_104551_373,1027,226
20211020_104431_273,961,243
20211020_104421_243,942,728
20211020_104430_273,963,335
20211020_104535_343,1034,202
20211020_104603_393,1033,205
20211020_104442_303,964,298
20211020_104444_303,968,300
20211020_104538_343,1005,218
20211020_104556_383,1025,225
20211020_104422_243,956,739
20211020_104415_243,948,731
